attributeName,formatString,unit,numberType,definition,attributeDefinition,columnClasses,minimum,maximum,missingValueCode,missingValueCodeExplanation
date,YYYY-MM-DD hh:mm:ss,,,,date of maintenance activity,Date,,,,
action,,,,description of maintenance activity,description of maintenance activity,character,,,,
